"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Isaiah Whitehead","G (1.5)","16","180","-.091","-5.9","-0.34","26.7","6.9","5.3","6.4","0.5","2.1","6.1",2017,"brk"
"Jacob Wiley","PG (1.0)","5","33",".229","4.1","0.16","5.8","16.0","2.9","0.0","0.0","1.5","5.8",2017,"brk"
"Jahlil Okafor","C (5.0)","26","328",".034","-2.0","0.23","24.3","11.1","1.6","2.6","2.3","0.4","6.4",2017,"brk"
"Jarrett Allen","C (5.0)","72","1441",".191","2.9","5.74","19.6","12.9","1.6","2.7","2.9","0.9","4.9",2017,"brk"
"Jeremy Lin","G (1.0)","1","25","-.128","-7.1","-0.07","34.6","0.0","7.7","5.8","0.0","0.0","5.8",2017,"brk"
"Joe Harris","SG (2.2)","78","1975",".151","1.6","6.21","20.6","6.3","3.1","2.2","0.5","0.9","3.7",2017,"brk"
"Milton Doyle","PG (1.0)","10","125","-.139","-7.4","-0.36","13.1","6.9","3.8","0.8","0.8","2.3","5.0",2017,"brk"
"Nik Stauskas","GF (3.0)","35","478",".067","-1.0","0.66","17.8","6.3","3.8","2.2","0.4","0.5","2.1",2017,"brk"
"Quincy Acy","F (4.0)","70","1359","-.048","-4.6","-1.34","14.5","9.0","2.0","2.1","1.0","1.2","5.3",2017,"brk"
"Rashad Vaughn","GF (3.0)","1","4",".028","-2.2","0.00","0.0","0.0","12.0","0.0","0.0","0.0","12.0",2017,"brk"
"Rondae Hollis-Jefferson","PF (4.1)","68","1920",".071","-0.9","2.83","23.6","11.5","4.2","3.0","1.2","1.6","3.6",2017,"brk"
"Sean Kilpatrick","G (1.3)","16","183","-.210","-9.6","-0.80","20.7","9.2","3.9","4.2","0.3","0.5","2.1",2017,"brk"
"Spencer Dinwiddie","PG (1.0)","80","2306",".128","0.9","6.14","21.0","5.4","10.9","2.7","0.5","1.4","3.9",2017,"brk"
"Timofey Mozgov","C (5.0)","31","359",".070","-0.9","0.52","17.5","13.1","1.5","4.4","1.7","0.7","5.2",2017,"brk"
"Trevor Booker","PF (5.0)","18","395",".070","-0.9","0.58","22.0","14.5","4.6","3.6","0.6","1.0","5.2",2017,"brk"
"Tyler Zeller","C (5.0)","42","703",".107","0.3","1.57","20.5","13.2","1.9","2.4","1.4","0.5","5.3",2017,"brk"
"Alan Williams","FC (4.5)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Allen Crabbe","SG (2.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Caris LeVert","SG (2.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"D'Angelo Russell","PG (1.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"DeMarre Carroll","SF (3.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Dzanan Musa","SF (3.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Ed Davis","PF (4.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Jared Dudley","F (3.5)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Jarrett Allen","C (5.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Joe Harris","SG (2.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Jordan McLaughlin","PG (1.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Kenneth Faried","C (5.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Mitch Creek","SG (2.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Nuni Omot","SF (3.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Rodions Kurucs","PF (4.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Rondae Hollis-Jefferson","PF (4.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Shabazz Napier","PG (1.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Spencer Dinwiddie","PG (1.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Theo Pinson","SF (3.0)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Treveon Graham","GF (2.5)","0","0","0","0.0","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2018,"brk"
"Amare Stoudemire","C (5.0)","29","684",".132","1.0","1.88","29.0","10.2","0.9","3.5","1.5","0.7","6.2",2012,"nyk"
"Carmelo Anthony","PF (4.0)","67","2482",".028","-2.2","1.46","37.1","8.9","3.3","3.4","0.6","1.0","4.0",2012,"nyk"
"Chris Copeland","PF (4.0)","56","864","-.020","-3.7","-0.36","27.0","6.6","1.5","2.8","0.7","0.9","5.8",2012,"nyk"
"Earl Barron","C (5.0)","1","37",".199","3.1","0.15","14.3","23.4","2.6","1.3","1.3","0.0","1.3",2012,"nyk"
"Iman Shumpert","PG (1.6)","45","996",".124","0.8","2.58","14.7","6.6","3.6","1.8","0.3","2.1","4.8",2012,"nyk"
"James White","SF (3.0)","57","434",".050","-1.5","0.45","13.8","5.3","3.2","1.9","0.4","1.4","4.9",2012,"nyk"
"Jason Kidd","SG (2.0)","76","2045",".260","5.0","11.08","10.8","7.6","5.8","1.8","0.6","2.9","2.9",2012,"nyk"
"J.R. Smith","SG (2.5)","80","2678",".098","-0.0","5.46","25.9","7.6","3.9","2.4","0.4","1.8","4.1",2012,"nyk"
"Kenyon Martin","PF (4.3)","18","430",".128","0.9","1.15","14.4","10.5","0.9","1.8","1.9","1.8","7.1",2012,"nyk"
"Kurt Thomas","PF (5.0)","39","394",".136","1.2","1.12","11.8","10.8","2.6","1.0","1.9","1.2","6.3",2012,"nyk"
"Marcus Camby","PF (5.0)","24","251",".054","-1.4","0.28","8.0","15.3","2.7","2.9","2.7","1.3","5.4",2012,"nyk"
"Pablo Prigioni","PG (1.0)","78","1265",".218","3.7","5.75","10.4","5.4","9.0","3.3","0.1","2.6","4.8",2012,"nyk"
"Quentin Richardson","G (2.0)","1","29","-.116","-6.7","-0.07","8.3","16.6","1.7","3.3","0.0","0.0","1.7",2012,"nyk"
"Rasheed Wallace","C (5.0)","21","296",".027","-2.2","0.17","23.7","13.5","1.0","1.6","2.4","2.1","6.5",2012,"nyk"
"Raymond Felton","PG (1.0)","68","2311",".096","-0.1","4.60","19.7","4.1","7.7","3.2","0.3","2.0","2.7",2012,"nyk"
"Ronnie Brewer","SF (3.4)","46","708",".096","-0.1","1.42","11.3","6.8","2.7","0.9","0.4","2.3","1.8",2012,"nyk"
"Solomon Jones","F (4.0)","2","26","-.247","-10.7","-0.13","0.0","5.5","0.0","5.5","1.8","0.0","5.5",2012,"nyk"
"Steve Novak","SF (3.0)","81","1643",".141","1.3","4.83","15.6","4.4","1.0","0.4","0.2","0.8","2.8",2012,"nyk"
"Tyson Chandler","C (5.0)","66","2162",".319","6.8","14.37","15.3","15.6","1.4","1.9","1.7","0.9","4.2",2012,"nyk"
"Amare Stoudemire","PF (4.0)","65","1466",".074","-0.8","2.25","25.3","10.5","1.1","3.0","1.2","0.8","5.2",2013,"nyk"
