"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Jason Richardson","GF (2.5)","72","2724",".124","0.8","7.02","27.5","7.5","5.0","3.0","0.6","1.9","2.7",2004,"gsw"
"Luis Flores","G (2.0)","15","73","-.093","-6.0","-0.14","21.0","1.3","7.2","7.2","0.0","1.3","5.9",2004,"gsw"
"Mickael Pietrus","GF (2.5)","67","1340",".079","-0.6","2.20","22.8","6.8","2.9","3.3","0.6","1.6","5.0",2004,"gsw"
"Mike Dunleavy","SF (3.6)","79","2570",".085","-0.4","4.56","19.7","8.1","3.8","2.5","0.5","1.5","3.7",2004,"gsw"
"Mike Dunleavy","GF (2.3)","79","2570",".141","1.3","7.57","19.7","8.1","3.8","2.5","0.5","1.5","3.7",2004,"gsw"
"Nikoloz Tskitishvili","PF (4.0)","12","62","-.275","-11.6","-0.36","12.4","9.3","4.6","3.9","2.3","0.0","7.0",2004,"gsw"
"Rodney White","SF (4.0)","16","146","-.265","-11.3","-0.81","18.7","4.9","2.6","3.3","0.3","0.7","4.3",2004,"gsw"
"Speedy Claxton","PG (1.0)","46","1501",".160","1.9","5.01","19.3","4.9","9.1","2.9","0.2","2.8","4.9",2004,"gsw"
"Troy Murphy","FC (4.5)","70","2375",".089","-0.3","4.41","21.7","15.3","2.0","2.2","0.7","1.1","3.8",2004,"gsw"
"Zarko Cabarkapa","F (4.0)","37","464",".062","-1.1","0.60","23.7","10.2","2.6","3.1","0.5","1.0","6.1",2004,"gsw"
"Aaron Miles","PG (1.0)","19","118",".048","-1.6","0.12","6.5","5.7","9.8","4.5","0.4","1.6","5.3",2005,"gsw"
"Adonal Foyle","C (5.0)","77","1755",".136","1.1","4.97","9.4","11.6","0.9","2.2","3.4","1.2","5.9",2005,"gsw"
"Andris Biedrins","C (5.0)","68","976",".208","3.4","4.22","12.7","13.9","1.2","1.7","2.3","1.1","9.3",2005,"gsw"
"Baron Davis","PG (1.2)","54","1820",".146","1.5","5.52","25.5","6.2","12.7","4.2","0.4","2.3","4.4",2005,"gsw"
"Calbert Cheaney","GF (3.0)","42","448",".021","-2.4","0.19","9.9","6.5","2.0","1.8","0.2","1.4","4.1",2005,"gsw"
"Chris Taft","F (4.0)","17","139",".205","3.3","0.59","16.3","12.5","0.7","0.7","2.4","0.7","8.7",2005,"gsw"
"Derek Fisher","PG (1.0)","82","2480",".120","0.7","6.20","21.1","4.1","6.8","3.0","0.2","2.4","4.6",2005,"gsw"
"Ike Diogu","FC (4.4)","69","956",".082","-0.5","1.64","24.4","11.5","1.5","3.9","1.5","0.8","8.2",2005,"gsw"
"Jason Richardson","GF (2.5)","75","2724",".122","0.7","6.93","30.7","7.7","4.1","2.9","0.7","1.7","3.6",2005,"gsw"
"Mickael Pietrus","GF (2.5)","52","1150","-.005","-3.2","-0.13","20.1","6.8","1.8","3.3","0.4","1.4","5.5",2005,"gsw"
"Mike Dunleavy","SF (3.7)","81","2578",".040","-1.8","2.17","17.4","7.4","4.4","2.2","0.6","1.1","3.7",2005,"gsw"
"Mike Dunleavy","GF (2.5)","81","2421",".108","0.3","5.44","18.5","7.9","4.7","2.4","0.6","1.2","3.9",2005,"gsw"
"Monta Ellis","G (2.0)","49","867",".030","-2.2","0.53","18.5","5.8","4.3","3.2","0.6","1.8","3.8",2005,"gsw"
"Troy Murphy","FC (4.5)","74","2394",".135","1.1","6.75","20.8","14.9","2.0","2.2","0.5","0.9","3.8",2005,"gsw"
"Will Bynum","PG (1.0)","15","162","-.032","-4.1","-0.11","16.0","3.6","5.6","4.1","0.0","2.1","3.0",2005,"gsw"
"Zarko Cabarkapa","F (4.0)","61","456","-.095","-6.0","-0.91","20.9","11.7","2.1","3.7","0.7","1.4","9.2",2005,"gsw"
"Adonal Foyle","C (5.0)","48","463",".198","3.1","1.91","11.1","13.1","2.0","2.4","5.2","1.1","6.3",2006,"gsw"
"Al Harrington","FC (4.5)","42","1296","-.001","-3.1","-0.03","26.4","10.0","3.6","2.9","0.5","1.5","5.7",2006,"gsw"
"Andris Biedrins","C (5.0)","82","2318",".213","3.6","10.30","16.2","15.8","1.8","2.5","2.8","1.4","6.3",2006,"gsw"
