name,pos,gp,min,wp48,pop48,wins,pts,reb,ast,to,blk,stl,pf,year,team,draft_rtg,draftyear,_merge
Edmond Sumner,PG (2.0),1,2,.74400002,20.1,.029999999,48,24,0,0,0,0,24,2017,ind,70,2017,matched (3)
Elfrid Payton,PG (1.0),82,2489,.13,1,6.7199998,14.1,6.6999998,10.3,3.9000001,.40000001,2.7,3.7,2014,orl,96.800003,2014,matched (3)
Gary Clark,F (3.0),51,641,.139,1.2,1.86,11.1,8.6999998,1.3,.5,1.9,1.5,3.5,2018,hou,95,2018,matched (3)
Gary Harris,SG (2.0),55,719,-.088,-5.8000002,-1.3200001,12.6,4.3000002,1.9,2.5,.5,2.5999999,4.6999998,2014,den,85.599998,2014,matched (3)
George King,SG (2.0),1,6,.126,.89999998,.02,0,8,0,0,0,0,0,2018,pho,44,2018,matched (3)
Grayson Allen,SG (2.0),38,416,-.161,-8.1000004,-1.39,24.299999,2.7,2.9000001,3.8,.69999999,.69999999,5.4000001,2018,uth,65,2018,matched (3)
Hamidou Diallo,SF (3.0),51,526,.063000001,-1.1,.69,17.299999,8.8999996,1.6,2.0999999,.89999998,1.9,7,2018,okc,36,2018,matched (3)
Ike Anigbogu,C (4.0),11,30,.27200001,5.4000001,.17,20.799999,14.4,0,3.2,4.8000002,1.6,1.6,2017,ind,68,2017,matched (3)
Isaiah Hicks,PF (4.0),18,240,-.177,-8.6000004,-.88,16,8.1999998,3.2,3.2,.80000001,.40000001,9,2017,nyk,62,2017,matched (3)
Ivan Rabb,C (5.0),36,516,.177,2.4000001,1.9,18.700001,14.7,3,3.3,1.2,1.1,5.0999999,2017,mem,79,2017,matched (3)
Jabari Parker,F (4.0),25,738,.034000002,-2,.51999998,20,9,2.7,3.0999999,.30000001,2,2.7,2014,mil,91.800003,2014,matched (3)
Jalen Brunson,SG (2.0),73,1591,.085000001,-.40000001,2.8,20.5,5.0999999,6.9000001,2.7,.1,1.1,3.8,2018,dal,87,2018,matched (3)
James Young,SG (2.0),31,332,.039000001,-1.9,.27000001,15.2,6.0999999,1.9,.69999999,.30000001,1.2,3.2,2014,bos,52.799999,2014,matched (3)
Jaren Jackson Jr.,FC (4.1),58,1515,-.0040000002,-3.2,-.11,25.299999,8.6000004,2,3.0999999,2.5999999,1.6,7,2018,mem,87,2018,matched (3)
Jarnell Stokes,PF (4.0),19,126,.16,1.9,.41999999,21.700001,13,1.5,2.7,1.9,1.9,9.5,2014,mem,94.900002,2014,matched (3)
Jarred Vanderbilt,SF (3.0),17,69,.2,3.0999999,.28999999,16.700001,16,2.0999999,5.5999999,.69999999,4.1999998,5.5999999,2018,den,93,2018,matched (3)
Jarrett Allen,C (5.0),72,1441,.191,2.9000001,5.7399998,19.6,12.9,1.6,2.7,2.9000001,.89999998,4.9000001,2017,brk,71,2017,matched (3)
Jawun Evans,PG (1.0),48,778,-.096000001,-6.0999999,-1.55,14.3,5.1999998,6.1999998,2.7,.40000001,2.2,6,2017,lac,85,2017,matched (3)
Jaylen Adams,PG (1.0),34,428,.039000001,-1.9,.34999999,12.1,6.6999998,7.3000002,3.0999999,.60000002,1.6,5,2018,atl,73,2018,matched (3)
Jayson Tatum,SF (3.0),80,2438,.191,2.8,9.6800003,21.9,7.9000001,2.5,2.2,1.1,1.6,3.3,2017,bos,75,2017,matched (3)
Jerami Grant,SF (3.3),65,1377,.0040000002,-3,.12,14.3,6.9000001,2.8,3,2.4000001,1.4,5,2014,phi,92.300003,2014,matched (3)
Jerome Robinson,SG (2.0),33,320,-.044,-4.5,-.28999999,16.799999,6.1999998,2.8,2,.40000001,1.6,6.9000001,2018,lac,43,2018,matched (3)
Jevon Carter,PG (1.0),39,577,-.037999999,-4.3000002,-.46000001,14.3,5.5,5.6999998,2.7,.89999998,2.2,4.5999999,2018,mem,90,2018,matched (3)
Joe Harris,SG (2.0),51,493,-.030999999,-4,-.31999999,13.2,4,2.5,2.5999999,.2,.69999999,6,2014,cle,31.4,2014,matched (3)
John Collins,PF (4.0),74,1785,.19599999,3,7.2800002,20.9,14.5,2.5999999,2.8,2.2,1.3,5.8000002,2017,atl,99,2017,matched (3)
Johnathan Motley,PF (4.0),11,176,.057999998,-1.3,.20999999,26.200001,13.4,1.9,2.5,.5,.80000001,4.9000001,2017,dal,63,2017,matched (3)
Johnny O'Bryant,F (4.0),34,368,-.234,-10.3,-1.79,13,8.3000002,2.2,3.3,.5,.69999999,5.6999998,2014,mil,20.9,2014,matched (3)
Jonathan Isaac,SF (4.0),27,536,-.011,-3.4000001,-.13,13,8.8999996,1.6,2.4000001,2.7,3,4.3000002,2017,orl,98,2017,matched (3)
